TIME	X	Y	Z	ROTX	ROTY	ROTZ	FX	FY	FZ	MX	MY	MZ
0.000000e+00	4.545455e+00	9.090910e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-04	4.546023e+00	9.091478e+00	-7.534475e-08	-1.449584e-14	-2.429034e-10	-2.499684e-05	1.571345e-01	7.084618e+01	-4.212783e-09	1.268529e-08	-2.025155e-08	1.633373e-01
1.000000e-03	4.546591e+00	9.092046e+00	9.994903e-08	-5.827061e-14	-1.186706e-09	-4.998410e-05	-1.958243e-01	1.409267e+02	-2.342732e-09	2.066008e-08	-2.911198e-08	-2.138868e-01
1.500000e-03	4.547160e+00	9.092615e+00	-5.740659e-08	-1.162148e-13	-3.048053e-09	-7.496658e-05	1.337922e-01	2.124893e+02	-2.511507e-09	8.122656e-09	-1.867399e-08	1.243113e-01
2.000000e-03	4.547728e+00	9.093183e+00	-2.345870e-08	-2.705400e-13	-5.600651e-09	-9.993993e-05	7.333866e-02	2.835087e+02	-2.940229e-09	2.812872e-09	-3.015279e-09	4.747826e-02
2.750000e-03	4.548580e+00	9.094035e+00	6.403913e-08	-7.166007e-13	-1.018699e-08	-1.373855e-04	-7.489503e-02	3.902952e+02	1.144347e-09	7.643178e-09	-1.059968e-08	-1.356257e-01
3.500000e-03	4.549432e+00	9.094887e+00	-6.166376e-08	-1.381845e-12	-1.561372e-08	-1.748158e-04	2.136014e-01	4.983540e+02	-1.075167e-09	7.233721e-09	-5.409722e-09	1.333458e-01
4.250000e-03	4.550285e+00	9.095740e+00	1.817814e-08	-2.309076e-12	-2.171211e-08	-2.122274e-04	8.878383e-02	6.060750e+02	1.174152e-09	6.761893e-10	-5.283517e-09	-4.215836e-02
5.000000e-03	4.551137e+00	9.096592e+00	3.716551e-08	-3.534402e-12	-2.821600e-08	-2.496222e-04	1.054897e-01	7.145139e+02	-9.708479e-10	2.516811e-09	1.447621e-09	-7.713779e-02
5.562500e-03	4.551776e+00	9.097231e+00	-8.162634e-08	-4.802560e-12	-3.434844e-08	-2.776583e-04	3.885036e-01	7.966546e+02	-3.267575e-06	3.167326e-07	-7.536840e-06	1.761901e-01
6.125000e-03	4.552415e+00	9.097870e+00	7.126594e-08	-6.628941e-12	-4.315886e-08	-3.056824e-04	1.192598e-01	8.780012e+02	-3.228062e-06	3.113364e-07	-7.443501e-06	-1.577623e-01
6.687500e-03	4.553054e+00	9.098509e+00	-1.327073e-08	-9.275071e-12	-5.545539e-08	-3.336988e-04	3.534662e-01	9.605624e+02	-3.187349e-06	2.990906e-07	-7.348374e-06	3.413296e-02
7.250000e-03	4.553694e+00	9.099149e+00	-5.333273e-08	-1.288547e-11	-7.099006e-08	-3.617052e-04	4.843817e-01	1.043187e+03	-3.142953e-06	3.007042e-07	-7.256478e-06	1.122506e-01
8.093750e-03	4.554652e+00	9.100107e+00	6.775127e-08	-3.202928e-11	-1.623822e-07	-4.036950e-04	3.322965e-01	1.166947e+03	3.568524e-07	9.620272e-08	-8.962109e-07	-1.474592e-01
8.937500e-03	4.555611e+00	9.101066e+00	-3.693436e-08	-9.132868e-11	-4.124486e-07	-4.456651e-04	6.571765e-01	1.292206e+03	4.109553e-07	9.324858e-08	-1.019656e-06	8.438714e-02
9.781250e-03	4.556570e+00	9.102025e+00	-1.827374e-08	-2.190582e-10	-8.988531e-07	-4.876130e-04	7.260638e-01	1.417572e+03	4.665812e-07	9.497071e-08	-1.150454e-06	3.500123e-02
1.062500e-02	4.557529e+00	9.102984e+00	6.092503e-08	-4.368199e-10	-1.646458e-06	-5.295388e-04	6.953354e-01	1.543347e+03	5.301587e-07	1.053816e-07	-1.314482e-06	-1.309962e-01
1.125781e-02	4.558248e+00	9.103703e+00	-7.012468e-08	-6.941956e-10	-2.463620e-06	-5.609710e-04	1.070889e+00	1.638836e+03	-4.002993e-05	3.954562e-06	-1.260452e-04	1.571247e-01
1.189063e-02	4.558967e+00	9.104422e+00	3.242899e-08	-1.076210e-09	-3.615844e-06	-5.923896e-04	9.557269e-01	1.733730e+03	-3.987387e-05	3.949235e-06	-1.259913e-04	-7.850831e-02
1.252344e-02	4.559686e+00	9.105141e+00	2.673281e-08	-1.585041e-09	-5.055196e-06	-6.237973e-04	1.095134e+00	1.829453e+03	5.825961e-08	-3.773695e-09	-1.558485e-07	-5.249432e-02
1.315625e-02	4.560405e+00	9.105860e+00	-6.772459e-08	-2.220378e-09	-6.740465e-06	-6.551942e-04	1.406692e+00	1.925852e+03	-3.962600e-05	3.965278e-06	-1.258471e-04	1.484612e-01
1.363086e-02	4.560945e+00	9.106400e+00	6.931553e-08	-2.768887e-09	-8.112594e-06	-6.787323e-04	1.207951e+00	1.997553e+03	7.747504e-10	1.401328e-08	-4.982517e-09	-1.609471e-01
1.410547e-02	4.561484e+00	9.106939e+00	-2.440439e-08	-3.374886e-09	-9.554447e-06	-7.022658e-04	1.521878e+00	2.070431e+03	9.279368e-10	5.630459e-09	-3.087317e-11	6.609041e-02
1.458008e-02	4.562023e+00	9.107478e+00	-3.669271e-08	-4.015184e-09	-1.099649e-05	-7.257917e-04	1.630159e+00	2.143114e+03	-8.585032e-10	6.562208e-09	1.041033e-09	7.283957e-02
1.505469e-02	4.562563e+00	9.108018e+00	7.292707e-08	-4.689869e-09	-1.243921e-05	-7.493097e-04	1.511852e+00	2.215561e+03	1.089047e-09	1.468097e-08	-7.134674e-09	-1.631939e-01
1.576660e-02	4.563372e+00	9.108827e+00	-5.623064e-08	-5.767301e-09	-1.460411e-05	-7.845766e-04	1.957865e+00	2.325800e+03	2.086247e-09	6.558418e-09	-5.268267e-09	1.327518e-01
1.647852e-02	4.564181e+00	9.109636e+00	2.116955e-09	-6.921960e-09	-1.676983e-05	-8.198266e-04	1.992060e+00	2.435702e+03	-1.988909e-11	3.534984e-11	-2.498546e-09	-1.379748e-02
